ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D017389,北京诚缘药店,C,3820.02,,,北京市丰台区富丰园小区32号楼底商北侧,116.284003,39.836642,False,10.630778538136772,175562,,3,0
D017391,北京芳雪天通大药房有限责任公司,B,16935.971,,,北京市昌平区东小口镇天通苑西苑三区26号楼10门,116.41093,40.075749,False,9.508588929607733,147449,,3,1
D017396,北京安平利医药有限公司,B,132.401,,,丰台区东铁匠营横七条13号,116.423308,39.854384,False,23.033059406323115,386151,,2,2
D017423,北京市鹿春堂药店,B,2812.319,,,市鹿春堂药店,116.435735,39.964553,False,15.472340342598345,257465,,3,3
D017441,北京市天弘济生大药房,A,18608.964,,,北京市海淀区中关村南大街48号-9平房,116.325295,39.944718,False,29.807625790210302,486661,,1,4
D017508,北京德信堂医药有限公司,C,7417.473,,,北京市昌平区东小口镇天通苑西苑三区36-4-101,116.41093,40.075749,False,9.106335985129348,147449,,3,5
D017558,北京博士安医药生物技术有限公司,B,9409.134,,,北京市海淀区清河小营东路7号院22号平房,116.349927,40.040946,False,18.383993068749767,301616,,2,6
D017564,北京兴事堂药店,B,5826.003,,,兴事堂药店,116.390842,39.870639,False,27.258727647325646,452977,,1,7
D017565,北京云海世纪同生堂药店,A,2372.575,,,北京市石景山区西井小区14号楼底商,116.196039,39.930897,False,12.413471419064226,206482,,3,8
D017596,北京市民众药店,C,1335.153,,,北京市昌平区昌平镇城角西路9号5号楼,116.222325,40.220067,False,9.92221896192853,165441,,3,9
D017629,北京双惠健祥大药房,B,7478.03,,,北京市朝阳区双桥中路（双桥影剧院）,116.591087,39.893978,False,9.557576191865726,154973,,3,10
D036256,北京同仁堂连锁药店有限责任公司垡头药店,B,0,W701927,北京同仁堂商业投资集团有限公司,北京市朝阳区垡头村,116.51506,39.860813,False,14.333821332625684,240366,,3,11
D036271,北京国大药房连锁有限公司蓝堡华贸连锁店,A,16886.367,W219036,北京国大药房连锁有限公司,北京市朝阳区西大望路3号蓝堡国际公寓S112号,116.476434,39.912083,True,22.316861698983452,362268,,2,12
D036446,北京嘉事堂药业股份有限公司嘉事堂惠康大药房,C,7891.553,W703139,北京嘉事堂连锁药店有限责任公司,嘉事堂药业(嘉事堂惠康大药房),116.206882,39.980518,False,4.7957397163563105,74828,,4,13
D036456,北京嘉事堂药业股份有限公司北京小营药店,B,8159.297,W703139,北京嘉事堂连锁药店有限责任公司,嘉事堂药业(小营药店),116.206882,39.980518,False,4.807054612085282,74828,,4,14
D036458,北京金象大药房医药连锁有限责任公司万泉河金象大药房,B,11643.449,W219032,北京金象大药房医药连锁有限责任公司,金象大药房医药连锁(万泉河金象大药房),116.367551,39.941209,False,35.24861554674444,582838,,1,15
